id,tf,dir,entry,best_off_h,contained,miss_$,bar_lo,bar_hi,utc,outcome
1,10m,long,4460.048,1.0,True,0.0,4458.52,4465.815,2026-06-04 03:40:11+00:00,win
2,10m,short,4511.054,0.0,False,29.969,4471.58,4481.085,2026-06-01 17:00:16+00:00,win
3,10m,short,4507.557,1.0,True,0.0,4505.845,4510.055,2026-05-26 19:50:16+00:00,win
4,10m,short,4551.59,1.0,False,1.07,4541.495,4550.52,2026-05-26 00:20:16+00:00,win
5,5m,long,4479.035,1.0,True,0.0,4467.245,4503.86,2026-05-20 14:15:16+00:00,win
6,5m,short,4671.813,1.0,True,0.0,4667.06,4672.02,2026-05-14 19:00:00+00:00,win
7,5m,long,4680.095,1.0,True,0.0,4672.005,4695.33,2026-05-11 12:21:00+00:00,win
8,10m,short,4705.833,1.0,True,0.0,4701.72,4708.48,2026-05-08 00:00:00+00:00,loss
9,10m,long,4550.006,1.0,True,0.0,4549.515,4555.96,2026-05-05 11:10:00+00:00,win
10,10m,short,4614.544,1.0,True,0.0,4612.585,4616.2,2026-05-01 05:20:00+00:00,loss
11,10m,long,4544.277,,False,,,,,win
12,10m,long,4695.947,1.0,True,0.0,4693.605,4704.585,2026-04-24 13:20:00+00:00,loss
13,10m,short,4801.441,1.0,True,0.0,4798.59,4806.15,2026-04-08 12:00:00+00:00,win
14,10m,short,4755.886,1.0,False,55.431,4688.545,4700.455,2026-04-02 02:20:00+00:00,miss
15,10m,long,4429.213,1.0,True,0.0,4417.43,4446.345,2026-03-30 00:10:00+00:00,win
16,10m,short,4538.657,0.0,False,4.417,4523.215,4534.24,2026-03-25 20:10:00+00:00,win
17,10m,long,4315.214,0.0,True,0.0,4314.185,4337.22,2026-03-24 02:00:00+00:00,win
18,10m,short,4521.47,0.0,True,0.0,4504.575,4526.675,2026-03-22 22:30:00+00:00,win
19,10m,short,5172.065,0.0,True,0.0,5167.175,5175.15,2026-03-12 02:20:00+00:00,win
20,10m,long,5136.965,0.0,True,0.0,5128.4,5144.995,2026-03-04 06:20:00+00:00,loss
21,15m,short,5279.41,0.0,True,0.0,5268.705,5288.07,2026-03-03 10:00:00+00:00,win
22,15m,short,5164.579,0.0,True,0.0,5163.69,5170.37,2026-02-24 18:00:00+00:00,loss
23,15m,long,4962.657,1.0,True,0.0,4961.235,4976.42,2026-02-19 00:00:00+00:00,win
24,15m,long,4753.521,0.0,False,5.624,4759.145,4787.865,2026-02-03 02:30:00+00:00,win
25,15m,short,5471.852,0.0,False,410.177,5050.655,5061.675,2026-01-26 23:45:00+00:00,win
