n,entry_time,direction,mode,entry_price,stop_loss,take_profit,rr_target,outcome,realized_r,level_price,level_touches,session,decision,reason,notes
1,2026-01-02 15:20,short,continuation,4336.785,4364.516,4253.593,3.0,loss,-1.06,4345.0,2,london_ny,,,
2,2026-01-02 16:10,short,continuation,4317.5,4351.049,4231.15,2.57,loss,-1.05,4331.62,2,london_ny,,,
3,2026-01-06 03:20,long,continuation,4463.745,4440.748,4532.736,3.0,timeout,0.02,4460.835,2,asia,,,
4,2026-01-06 14:30,long,range,4479.295,4450.358,4566.105,3.0,loss,-1.06,4470.515,2,london_ny,,,
5,2026-01-06 14:40,long,range,4482.18,4455.998,4560.727,3.0,loss,-1.06,4476.168,2,london_ny,,,
6,2026-01-07 06:00,short,range,4457.965,4480.158,4391.385,3.0,timeout,0.86,4460.098,2,london_ny,,,
7,2026-01-07 06:00,short,range,4457.965,4482.528,4384.275,3.0,timeout,0.78,4462.468,2,london_ny,,,
8,2026-01-07 13:10,short,continuation,4434.085,4454.221,4373.677,3.0,loss,-1.06,4434.268,4,london_ny,,,
9,2026-01-07 13:10,short,continuation,4434.085,4462.403,4349.13,3.0,loss,-1.04,4442.45,3,london_ny,,,
10,2026-01-12 07:00,long,continuation,4582.15,4561.218,4644.947,3.0,timeout,0.19,4581.838,2,london_ny,,,
11,2026-01-13 14:50,long,range,4629.8,4599.095,4721.915,3.0,loss,-1.04,4619.929,5,london_ny,,,
12,2026-01-13 14:50,long,range,4629.8,4608.066,4695.002,3.0,loss,-1.06,4628.9,2,london_ny,,,
13,2026-01-13 15:10,long,range,4607.055,4581.213,4684.58,3.0,loss,-1.05,4601.945,2,london_ny,,,
14,2026-01-16 15:30,short,reversal,4548.375,4590.143,4457.408,2.18,loss,-1.03,4569.675,2,london_ny,,,
15,2026-01-16 16:00,short,range,4586.78,4616.388,4497.956,3.0,loss,-1.05,4595.747,2,london_ny,,,
16,2026-01-20 00:40,short,range,4662.82,4685.065,4596.084,3.0,loss,-1.09,4664.082,2,asia,,,
17,2026-01-20 13:30,short,range,4721.2,4742.723,4656.631,3.0,loss,-1.06,4721.478,2,london_ny,,,
18,2026-01-21 20:30,short,continuation,4805.51,4836.922,4711.273,3.0,loss,-1.08,4815.298,2,ny_close,,,
19,2026-01-22 15:40,long,continuation,4863.49,4833.097,4954.67,3.0,win,2.95,4854.982,2,london_ny,,,
20,2026-01-30 02:30,short,range,5211.135,5249.748,5106.912,2.7,win,2.66,5226.298,2,asia,,,
21,2026-01-30 09:10,short,continuation,5068.755,5114.364,4967.38,2.22,win,2.2,5091.555,2,london_ny,,,
22,2026-01-30 09:10,short,continuation,5068.755,5104.329,4967.38,2.85,win,2.82,5081.52,2,london_ny,,,
23,2026-01-30 09:30,short,continuation,5031.005,5073.657,4930.385,2.36,loss,-1.03,5051.018,4,london_ny,,,
24,2026-01-30 17:40,short,continuation,4857.51,4922.206,4760.36,1.5,win,1.48,4900.348,2,london_ny,,,
25,2026-01-30 18:20,short,continuation,4742.65,4794.782,4647.797,1.82,loss,-1.02,4773.44,2,london_ny,,,
26,2026-02-02 03:50,short,range,4646.855,4680.473,4553.918,2.76,loss,-1.06,4659.562,2,asia,,,
27,2026-02-02 05:50,short,range,4549.25,4599.508,4458.265,1.81,win,1.78,4579.037,3,asia,,,
28,2026-02-02 05:50,short,range,4549.25,4601.347,4458.265,1.75,win,1.72,4580.875,2,asia,,,
29,2026-02-02 06:40,short,range,4439.82,4473.422,4351.024,2.64,loss,-1.04,4453.442,2,london_ny,,,
30,2026-02-02 06:40,short,range,4439.82,4498.292,4351.024,1.52,loss,-1.02,4478.312,2,london_ny,,,
31,2026-02-02 06:40,short,range,4439.82,4467.064,4358.087,3.0,loss,-1.04,4447.085,2,london_ny,,,
32,2026-02-02 06:40,short,range,4439.82,4480.304,4351.024,2.19,loss,-1.03,4460.325,4,london_ny,,,
33,2026-02-02 07:20,short,continuation,4560.27,4626.009,4469.065,1.39,loss,-1.02,4605.488,2,london_ny,,,
34,2026-02-02 11:00,long,continuation,4723.995,4694.062,4813.794,3.0,loss,-1.04,4715.32,2,london_ny,,,
35,2026-02-02 16:40,short,continuation,4657.32,4678.565,4593.584,3.0,loss,-1.06,4657.608,2,london_ny,,,
36,2026-02-02 16:40,short,continuation,4657.32,4686.368,4570.176,3.0,loss,-1.04,4665.41,2,london_ny,,,
37,2026-02-03 00:20,long,range,4820.34,4775.911,4916.747,2.17,loss,-1.05,4797.603,2,asia,,,
38,2026-02-03 00:30,long,range,4821.16,4789.375,4916.516,3.0,loss,-1.06,4811.07,2,asia,,,
39,2026-02-03 01:20,long,continuation,4853.82,4808.345,4950.896,2.13,loss,-1.04,4830.188,2,asia,,,
40,2026-02-03 06:20,long,range,4871.605,4821.373,4969.037,1.94,win,1.92,4843.295,2,london_ny,,,
41,2026-02-04 15:30,short,range,4912.61,4986.612,4814.358,1.33,loss,-1.02,4964.505,2,london_ny,,,
42,2026-02-04 16:50,short,range,4904.53,4932.69,4820.049,3.0,loss,-1.04,4910.62,2,london_ny,,,
43,2026-02-05 02:50,short,continuation,4812.23,4892.878,4715.985,1.19,loss,-1.02,4871.222,2,asia,,,
44,2026-02-05 03:00,short,continuation,4847.165,4871.827,4773.178,3.0,loss,-1.08,4850.015,2,asia,,,
45,2026-02-06 14:40,long,continuation,4939.185,4911.116,5023.391,3.0,win,2.94,4933.343,2,london_ny,,,
46,2026-02-06 15:00,long,continuation,4957.08,4917.641,5056.222,2.51,win,2.48,4939.948,4,london_ny,,,
47,2026-02-08 23:30,long,reversal,5036.695,4999.627,5137.429,2.72,loss,-1.05,5022.292,2,asia,,,
48,2026-02-09 10:30,short,range,4990.505,5019.86,4902.441,3.0,loss,-1.04,4997.402,2,london_ny,,,
49,2026-02-11 02:40,long,continuation,5053.04,5026.033,5134.061,3.0,loss,-1.06,5048.772,3,asia,,,
50,2026-02-11 10:50,long,range,5093.245,5068.145,5168.544,3.0,loss,-1.05,5091.065,3,london_ny,,,
51,2026-02-11 11:00,long,range,5094.135,5063.516,5185.991,3.0,loss,-1.04,5086.44,3,london_ny,,,
52,2026-02-11 11:00,long,range,5094.135,5057.574,5196.018,2.79,loss,-1.03,5080.498,4,london_ny,,,
53,2026-02-12 12:50,short,range,5052.85,5079.243,4973.672,3.0,loss,-1.05,5056.505,2,london_ny,,,
54,2026-02-12 16:40,short,continuation,4935.995,4958.462,4868.594,3.0,loss,-1.05,4936.25,2,london_ny,,,
55,2026-02-12 17:20,short,continuation,4965.875,5009.271,4866.558,2.29,loss,-1.03,4986.925,2,london_ny,,,
56,2026-02-12 17:20,short,continuation,4965.875,5019.384,4866.558,1.86,loss,-1.02,4997.038,2,london_ny,,,
57,2026-02-12 18:00,short,continuation,4925.195,4948.298,4855.885,3.0,loss,-1.05,4926.135,2,london_ny,,,
58,2026-02-13 14:20,long,continuation,5002.69,4976.108,5082.436,3.0,loss,-1.05,4998.62,2,london_ny,,,
59,2026-02-13 14:40,long,continuation,4998.38,4969.286,5085.663,3.0,loss,-1.05,4991.778,3,london_ny,,,
60,2026-02-16 13:10,short,continuation,4999.09,5022.306,4929.442,3.0,win,2.93,4999.81,3,london_ny,,,
61,2026-02-16 16:20,short,continuation,4986.305,5011.741,4909.997,3.0,win,2.94,4989.302,2,london_ny,,,
62,2026-02-17 00:50,short,range,4936.07,4995.51,4837.349,1.66,timeout,0.74,4973.298,2,asia,,,
63,2026-02-17 01:20,short,range,4956.81,4980.333,4886.241,3.0,win,2.91,4958.028,2,asia,,,
64,2026-02-17 01:20,short,range,4956.81,4985.831,4869.748,3.0,win,2.93,4963.525,3,asia,,,
65,2026-02-17 01:40,short,range,4960.02,4991.318,4866.127,3.0,win,2.94,4968.997,2,asia,,,
66,2026-02-17 05:20,short,range,4900.79,4926.491,4823.687,3.0,loss,-1.06,4904.438,2,asia,,,
67,2026-02-19 05:50,long,range,4997.28,4973.39,5068.951,3.0,loss,-1.07,4995.878,2,asia,,,
68,2026-02-19 06:50,long,range,5018.41,4989.54,5105.021,3.0,loss,-1.04,5012.122,2,london_ny,,,
69,2026-02-19 07:00,long,range,5020.95,4994.411,5100.568,3.0,loss,-1.05,5017.005,2,london_ny,,,
70,2026-02-19 07:50,long,continuation,5010.305,4985.935,5083.414,3.0,loss,-1.05,5008.482,3,london_ny,,,
71,2026-02-20 06:40,long,continuation,5029.77,5001.059,5115.904,3.0,loss,-1.04,5023.692,2,london_ny,,,
72,2026-02-20 07:00,long,continuation,5025.55,4999.373,5104.082,3.0,loss,-1.05,5021.988,2,london_ny,,,
73,2026-02-20 09:10,long,continuation,5038.885,5008.23,5130.85,3.0,loss,-1.04,5030.905,3,london_ny,,,
74,2026-02-23 07:00,short,continuation,5150.865,5174.469,5080.053,3.0,loss,-1.05,5151.29,3,london_ny,,,
75,2026-02-23 14:50,long,range,5192.825,5165.11,5275.971,3.0,loss,-1.06,5188.478,2,london_ny,,,
76,2026-02-23 15:00,long,range,5197.125,5153.675,5301.068,2.39,loss,-1.04,5177.062,2,london_ny,,,
77,2026-02-23 16:00,long,range,5196.94,5148.501,5300.879,2.15,loss,-1.03,5171.888,2,london_ny,,,
78,2026-02-24 12:20,short,continuation,5161.79,5187.292,5085.285,3.0,loss,-1.06,5164.064,4,london_ny,,,
79,2026-02-24 12:40,short,continuation,5154.64,5178.868,5081.955,3.0,loss,-1.07,5155.672,2,london_ny,,,
80,2026-02-24 13:40,short,continuation,5126.74,5166.805,5024.205,2.56,loss,-1.03,5143.735,5,london_ny,,,
81,2026-02-24 13:40,short,continuation,5126.74,5169.114,5024.205,2.42,loss,-1.03,5146.044,4,london_ny,,,
82,2026-02-25 02:10,long,range,5190.41,5161.658,5276.666,3.0,loss,-1.06,5185.015,2,asia,,,
83,2026-02-25 20:20,short,range,5186.27,5214.823,5100.61,3.0,timeout,-0.09,5191.485,2,ny_close,,,
84,2026-02-25 23:30,short,range,5170.185,5195.273,5094.92,3.0,loss,-1.08,5172.008,2,asia,,,
85,2026-02-27 00:50,short,range,5175.1,5201.455,5096.034,3.0,loss,-1.06,5178.168,2,asia,,,
86,2026-02-27 13:10,long,continuation,5218.52,5184.562,5320.395,3.0,win,2.95,5208.045,2,london_ny,,,
87,2026-02-27 13:30,long,continuation,5218.865,5195.013,5290.422,3.0,win,2.93,5218.497,2,london_ny,,,
