n,entry_time,direction,mode,entry_price,stop_loss,take_profit,rr_target,outcome,realized_r,level_price,level_touches,session,decision,reason,notes
1,2026-05-11 06:20,short,continuation,4667.405,4683.274,4619.799,3.0,loss,-1.08,4669.358,3,london_ny,skip,Yes price is on a downtrend and overall it was not a negative trade and if I were to enter my entry would probably be where you marked the stop loss even though the trade would have lost which is fine but overall the trade was not bad,The size of the trade is very similar to some trades I've made which is good as you put the take profit which would've resulted in a 1% price profit which is realistic as generally speaking when entering trades you should not be especially price to move more than 2% up and 2% down per trade so this kind of entry is good
2,2026-05-11 12:50,long,range,4700.035,4665.224,4804.468,3.0,timeout,-0.63,4690.668,2,london_ny,take,entry looks good as you waited for prince to retest 4690 level which is great as we can see price has created a lower high level there recently which makes it a not too bad entry however the take profit is too far up as that would be a 2.25% growth in price which is quite the movement and besides that you should not have placed the take profit above 4766 as that was the peak price for the week and the turning point for the downtrend which makes it a strong resistance level but the stop loss position was not bade as it was placed high below the last lower high before price broke the downtrend pattern,If you respected the previous high of the 7th May 4pm then the trade would have been successful as we could see once price moved to that level it bounced off and came back down - naturally this will not always be the case but its something to take into consideration of possibilities
3,2026-05-11 14:10,long,continuation,4730.945,4663.623,4932.911,3.0,loss,-1.02,4728.438,2,london_ny,skip,yes price went up and came back down to retest a lower high level but first you're already in a trade on a similar analysis and second you're not respecting the high of the week and 3rd your stop loss and take profit are too wide! 4.27% growth in price is extreme bullish movement which we have no signs of happening as price has not been volitile so how can we expect price to make such plays but lets give a scenario that price broke the 4764 high of the week and came back to rest that I can make an argument of price climbing that high but even then its not the most realistic trade to make,Make the range of % for price when it comes to your stop loss and take profit smaller as we are not exactly seeing volatile plays being made
4,2026-05-11 22:50,long,continuation,4751.09,4731.007,4811.338,3.0,loss,-1.13,4748.662,3,rollover,skip,There are no indications that price would move up plus even worse you're trade for price to break a resistance level as normally I would wait for price to break that resistance level before we enter and this is the same for the next trade,
5,2026-05-12 00:00,long,continuation,4768.365,4730.55,4881.809,3.0,loss,-1.05,4765.355,2,asia,skip,Similar to the trade before there is no valid setup for a trade as price is about to touch the reistance level that was marked on the 7th may 4pm so unless price breaks that and retest I dont see a trade plus 2.4% is very optimistic remember we are trading a low timeframe and yes price would be moving a lot but it does not mean we need to look for volatile plays expecting price would reach such a level without moving down first,
6,2026-05-12 06:10,short,continuation,4704.94,4724.57,4646.049,3.0,win,2.94,4708.772,3,london_ny,take,good trade as price broke a higher level level and price came back up to 4711 which is a great entry for a short position + stop loss and take profit were good as you placed the stop loss above the previous lower high and the take profit wasn't bad but a bit low as it wouldn't be surprising for price to retest of the 4655 level which it actually done and I choose that level because it done so twice on 11th May 7:00 am and again same day 11th May but 10:30 am but besides that the trade was good,
7,2026-05-12 20:00,long,range,4714.135,4636.668,4946.535,3.0,timeout,-0.35,4712.168,2,ny_close,skip,1st I see what you were hoping for but price is not really moving there is no momentum its just stuck together and looking for a breakout and retest in such conditions is pointless and we expect a bit of momentum or liquidity sweep but we take action 2nd the range of the stop loss and take profit is toooo wideeee!!! thats nearly 5% growth in price which I do not see price doing remember we care already risking 1% per trade so lets not make it harder for ourselves by setting such a high goal but I understand as you were trying to respend the previous lover low that it made but this trade would be pointless to make,
8,2026-05-12 23:30,long,continuation,4720.61,4710.31,4751.509,3.0,loss,-1.19,4719.822,2,asia,skip,same as the trade before price is not really moving and its not showing momentum but I can respect the fact that you entered when price broke the previous lower high so I can see as to why the algo made this trade,
9,2026-05-14 07:30,long,range,4712.0,4683.905,4796.284,3.0,loss,-1.04,4702.978,2,london_ny,skip,price is consolidation without breaking the consolidation range it is in so there is no trade to be made here unless it breaks either to the upside or downside but we do not make predictions of price breaking consolidations without it actually doing so before you enter or you're shooting yourself in the foot,
10,2026-05-18 00:10,short,range,4523.31,4557.77,4419.929,3.0,loss,-1.05,4528.792,2,asia,take,price broke a consolidation rnage to the downside and price came back to retest and the algo entered so the trade looks good and the stop loss and take profit level are not bad however again the stop loss level is too close to the previous lower high level so if I made this trade then I would have placed the stop loss around 4562 and it would not be surprising if price back to touch the previous lower high so this is what I mean when I say giving price room to move,
11,2026-05-18 01:00,short,range,4501.75,4559.316,4329.052,3.0,loss,-1.03,4507.38,2,asia,skip,analysis is okay same as the previous trade but the expectation where the algo thinks price will move to is too great as price has not gone down to 4325 level in weeks as you can see on the higher time frame is hasn't touched that level in 2 months so take into consideration the lowest price of the day/week and the highst price of the day week as well,
12,2026-05-18 01:00,short,range,4501.75,4559.316,4329.052,3.0,loss,-1.03,4510.347,3,asia,skip,same as answer as trade #11,
13,2026-05-19 13:40,short,range,4481.51,4551.077,4272.809,3.0,timeout,-0.6,4486.602,2,london_ny,skip,Price did not break and retest and significant level here so I wouldn't have entered and again the expected price % movement for this trade is unrealistic but I understand the reasoning as the stop loss was placed before previous higher high consolidation level which I gave instructions for  but again price has not reach 4277 in months so its not a good take profit to make but above all there is no edge here besides WMA crossing above SMMA previously,
14,2026-05-20 03:10,short,range,4462.71,4512.836,4312.334,3.0,loss,-1.03,4464.49,2,asia,take,not a bad trade or bad analysis if anything I like it as price was entered after it broke a level that was respected twice and came to retest then stop loss was above previous lower high and take profit was 3x that but similar to the previous trade the take profit is unrealistic for price to move there just taking into consideration the lowest price of the day/week,
15,2026-05-21 02:00,long,continuation,4555.77,4534.95,4618.231,3.0,loss,-1.1,4553.2,2,asia,skip,too late for a long trade as that would have happened inbetween trade #14 and '15 which I've sent in the previous trade log I sent you to create this new strategy besides that the sto loss level isn't bad if I were to enter this trade and same with the take profit but besides that its not a good trade as you're predicting price to break a strong resistance level which has been respected in the past which I've mentioned we do not do,
16,2026-05-21 05:30,short,range,4525.84,4542.557,4475.69,3.0,loss,-1.1,4526.362,3,asia,skip,price is basically in a range of consolidation and not exactly respecting any level currently so until we see that price is starting to respect some levels its not great to trade this period,
17,2026-05-21 07:30,short,continuation,4515.695,4542.107,4436.459,3.0,loss,-1.05,4518.388,2,london_ny,skip,same answer as trade #16,
18,2026-05-21 17:30,long,continuation,4542.585,4512.014,4634.299,3.0,loss,-1.05,4540.328,3,london_ny,skip,price is not respecting any level currently and on top of that there realistically is no real edge here,
19,2026-05-21 18:00,long,continuation,4548.675,4511.73,4659.51,3.0,loss,-1.04,4543.862,2,london_ny,skip,same as trade #18,
20,2026-05-24 22:50,long,reversal,4565.33,4501.739,4756.102,3.0,timeout,-0.49,4559.45,2,rollover,skip,1st we do not predict price to break a strong resistance what we do is allow for the break to happen then wait for price to come back and retest that strong resistance and newly respected support and then we enter the trade but what your trading here is not good as its just below a respected resistance level and besides that the expected price % take profit again is too high as this is a 4% price increase which I would not try and we should try to keep it below 2% but I understand you are trying to respect the 3R:R but in this case its not something you should stick firmly to and second you're trying to respect the price being below the previous lower low movement but price moved up which made the take profit % so high,
21,2026-05-24 23:10,long,reversal,4574.585,4501.579,4793.603,3.0,timeout,-0.6,4571.688,2,asia,skip,same reasoning as trade #20,
22,2026-05-26 00:10,short,reversal,4545.945,4582.091,4437.507,3.0,timeout,0.77,4553.608,3,asia,take,Entry was great as you waited for price to break a support level then came back to retest that level and as soon as it came back you entered which I really respect HOWEVER again your stop and take profits are too high and too low and this was actually a trade I entered and the stop loss was 4564.518 and the take profit was 4513.041 which is ideal as I've said before the range does not need to be so wide and on top of that the stop loss was placed aboved the previous lower high but the lower high you chose was the one before I chose which is the strong resistance level I have spoke of,
23,2026-05-26 00:20,short,reversal,4549.44,4582.224,4451.088,3.0,timeout,0.95,4550.072,2,asia,take,same reason as the trade #22 ,
24,2026-05-26 01:50,short,range,4537.3,4582.785,4400.846,3.0,timeout,0.65,4540.208,3,asia,take,same reason as the trade #22 and #23 which is the same as #22,
25,2026-05-26 17:50,short,continuation,4491.19,4509.299,4436.863,3.0,loss,-1.07,4500.555,3,london_ny,skip,not bad analysis on this trade however price is consolidating downwards and your trade is basically predicting that it will break the downward trend and coninue going down 2nd even if I were to enter this trade I am not seeing price retesting anything which invalidations my strategy,
26,2026-05-26 18:10,short,continuation,4490.8,4509.492,4434.725,3.0,loss,-1.06,4491.418,2,london_ny,skip,same reason as trade #25,
27,2026-05-27 11:00,short,range,4449.845,4501.262,4295.595,3.0,timeout,1.11,4457.262,3,london_ny,skip,there is no edge here price has not broken any respected level nor has it retested any respected or significant level but it is in a downtrend so I can respect looking for short positions whoever like I mentioned before the expected price % on these trades are too high please take into conideration the high and low range of the day and week please,
28,2026-05-27 12:20,short,range,4454.705,4502.686,4310.763,3.0,timeout,0.52,4462.575,2,london_ny,skip,same reason as trade #27,
29,2026-05-27 13:20,short,continuation,4405.045,4471.01,4207.15,3.0,loss,-1.02,4414.698,3,london_ny,skip,there is no edge here no significant level or respected support or resistance and no retest either so I would not enter this trade,
