n,entry_time,entry_ms,exit_ms,direction,mode,entry_price,stop_loss,take_profit,level_price,level_touches,level_disrespect,rr_target,outcome,realized_r,exit_price,exit_time,sig_momentum,sig_fvg,sig_sweep,htf_up,session,atr
1,2026-01-02 15:20,1767367200000,1767568200000,short,continuation,4336.785,4364.516,4253.593,4345.0,2,0,3.0,loss,-1.06,4364.516,2026-01-04 23:10,False,True,False,False,london_ny,12.0
2,2026-01-02 16:10,1767370200000,1767567600000,short,continuation,4317.5,4351.049,4231.15,4331.62,2,0,2.57,loss,-1.05,4351.049,2026-01-04 23:00,False,True,False,False,london_ny,11.68
3,2026-01-06 03:20,1767669600000,1767759600000,long,continuation,4463.745,4440.748,4532.736,4460.835,2,0,3.0,timeout,0.02,4466.285,2026-01-07 04:20,True,True,False,True,asia,7.66
4,2026-01-06 14:30,1767709800000,1767764400000,long,range,4479.295,4450.358,4566.105,4470.515,2,0,3.0,loss,-1.06,4450.358,2026-01-07 05:40,False,True,False,True,london_ny,6.37
5,2026-01-06 14:40,1767710400000,1767763800000,long,range,4482.18,4455.998,4560.727,4476.168,2,0,3.0,loss,-1.06,4455.998,2026-01-07 05:30,False,False,False,True,london_ny,7.63
6,2026-01-07 06:00,1767765600000,1767855600000,short,range,4457.965,4480.158,4391.385,4460.098,2,0,3.0,timeout,0.86,4437.655,2026-01-08 07:00,True,False,False,False,london_ny,5.28
7,2026-01-07 06:00,1767765600000,1767855600000,short,range,4457.965,4482.528,4384.275,4462.468,2,0,3.0,timeout,0.78,4437.655,2026-01-08 07:00,True,False,False,False,london_ny,5.28
8,2026-01-07 13:10,1767791400000,1767794400000,short,continuation,4434.085,4454.221,4373.677,4434.268,4,0,3.0,loss,-1.06,4454.221,2026-01-07 14:00,True,False,False,False,london_ny,7.57
9,2026-01-07 13:10,1767791400000,1767803400000,short,continuation,4434.085,4462.403,4349.13,4442.45,3,0,3.0,loss,-1.04,4462.403,2026-01-07 16:30,True,False,False,False,london_ny,7.57
10,2026-01-12 07:00,1768201200000,1768291200000,long,continuation,4582.15,4561.218,4644.947,4581.838,2,0,3.0,timeout,0.19,4587.315,2026-01-13 08:00,False,True,False,True,london_ny,5.76
11,2026-01-13 14:50,1768315800000,1768321200000,long,range,4629.8,4599.095,4721.915,4619.929,5,0,3.0,loss,-1.04,4599.095,2026-01-13 16:20,True,True,False,True,london_ny,9.29
12,2026-01-13 14:50,1768315800000,1768317000000,long,range,4629.8,4608.066,4695.002,4628.9,2,0,3.0,loss,-1.06,4608.066,2026-01-13 15:10,True,False,False,True,london_ny,9.29
13,2026-01-13 15:10,1768317000000,1768328400000,long,range,4607.055,4581.213,4684.58,4601.945,2,0,3.0,loss,-1.05,4581.213,2026-01-13 18:20,True,False,False,True,london_ny,6.43
14,2026-01-16 15:30,1768577400000,1768579200000,short,reversal,4548.375,4590.143,4457.408,4569.675,2,0,2.18,loss,-1.03,4590.143,2026-01-16 16:00,False,False,False,False,london_ny,13.64
15,2026-01-16 16:00,1768579200000,1768777200000,short,range,4586.78,4616.388,4497.956,4595.747,2,0,3.0,loss,-1.05,4616.388,2026-01-18 23:00,True,False,False,False,london_ny,13.64
16,2026-01-20 00:40,1768869600000,1768882800000,short,range,4662.82,4685.065,4596.084,4664.082,2,0,3.0,loss,-1.09,4685.065,2026-01-20 04:20,True,False,False,False,asia,3.71
17,2026-01-20 13:30,1768915800000,1768917600000,short,range,4721.2,4742.723,4656.631,4721.478,2,0,3.0,loss,-1.06,4742.723,2026-01-20 14:00,False,False,False,False,london_ny,4.77
18,2026-01-21 20:30,1769027400000,1769030400000,short,continuation,4805.51,4836.922,4711.273,4815.298,2,0,3.0,loss,-1.08,4836.922,2026-01-21 21:20,True,True,False,False,ny_close,16.62
19,2026-01-22 15:40,1769096400000,1769122800000,long,continuation,4863.49,4833.097,4954.67,4854.982,2,0,3.0,win,2.95,4954.67,2026-01-22 23:00,True,True,False,True,london_ny,10.66
20,2026-01-30 02:30,1769740200000,1769761800000,short,range,5211.135,5249.748,5106.912,5226.298,2,0,2.7,win,2.66,5106.912,2026-01-30 08:30,True,False,False,False,asia,43.44
21,2026-01-30 09:10,1769764200000,1769766000000,short,continuation,5068.755,5114.364,4967.38,5091.555,2,0,2.22,win,2.2,4967.38,2026-01-30 09:40,True,True,False,False,london_ny,41.35
22,2026-01-30 09:10,1769764200000,1769766000000,short,continuation,5068.755,5104.329,4967.38,5081.52,2,0,2.85,win,2.82,4967.38,2026-01-30 09:40,True,False,False,False,london_ny,41.35
23,2026-01-30 09:30,1769765400000,1769768400000,short,continuation,5031.005,5073.657,4930.385,5051.018,4,0,2.36,loss,-1.03,5073.657,2026-01-30 10:20,True,True,False,False,london_ny,43.43
24,2026-01-30 17:40,1769794800000,1769796600000,short,continuation,4857.51,4922.206,4760.36,4900.348,2,0,1.5,win,1.48,4760.36,2026-01-30 18:10,False,False,False,False,london_ny,39.21
25,2026-01-30 18:20,1769797200000,1769798400000,short,continuation,4742.65,4794.782,4647.797,4773.44,2,0,1.82,loss,-1.02,4794.782,2026-01-30 18:40,False,False,False,False,london_ny,51.23
26,2026-02-02 03:50,1770004200000,1770005400000,short,range,4646.855,4680.473,4553.918,4659.562,2,0,2.76,loss,-1.06,4680.473,2026-02-02 04:10,False,False,False,False,asia,45.58
27,2026-02-02 05:50,1770011400000,1770013200000,short,range,4549.25,4599.508,4458.265,4579.037,3,0,1.81,win,1.78,4458.265,2026-02-02 06:20,True,True,False,False,asia,48.36
28,2026-02-02 05:50,1770011400000,1770013200000,short,range,4549.25,4601.347,4458.265,4580.875,2,0,1.75,win,1.72,4458.265,2026-02-02 06:20,True,True,False,False,asia,48.36
29,2026-02-02 06:40,1770014400000,1770015000000,short,range,4439.82,4473.422,4351.024,4453.442,2,0,2.64,loss,-1.04,4473.422,2026-02-02 06:50,True,True,False,False,london_ny,54.36
30,2026-02-02 06:40,1770014400000,1770015000000,short,range,4439.82,4498.292,4351.024,4478.312,2,0,1.52,loss,-1.02,4498.292,2026-02-02 06:50,True,True,False,False,london_ny,54.36
31,2026-02-02 06:40,1770014400000,1770015000000,short,range,4439.82,4467.064,4358.087,4447.085,2,0,3.0,loss,-1.04,4467.064,2026-02-02 06:50,True,True,False,False,london_ny,54.36
32,2026-02-02 06:40,1770014400000,1770015000000,short,range,4439.82,4480.304,4351.024,4460.325,4,0,2.19,loss,-1.03,4480.304,2026-02-02 06:50,True,True,False,False,london_ny,54.36
33,2026-02-02 07:20,1770016800000,1770019800000,short,continuation,4560.27,4626.009,4469.065,4605.488,2,0,1.39,loss,-1.02,4626.009,2026-02-02 08:10,True,True,False,False,london_ny,48.36
34,2026-02-02 11:00,1770030000000,1770039000000,long,continuation,4723.995,4694.062,4813.794,4715.32,2,0,3.0,loss,-1.04,4694.062,2026-02-02 13:30,False,True,False,True,london_ny,38.97
35,2026-02-02 16:40,1770050400000,1770051600000,short,continuation,4657.32,4678.565,4593.584,4657.608,2,0,3.0,loss,-1.06,4678.565,2026-02-02 17:00,True,False,False,False,london_ny,48.87
36,2026-02-02 16:40,1770050400000,1770051600000,short,continuation,4657.32,4686.368,4570.176,4665.41,2,0,3.0,loss,-1.04,4686.368,2026-02-02 17:00,True,False,False,False,london_ny,48.87
37,2026-02-03 00:20,1770078000000,1770079800000,long,range,4820.34,4775.911,4916.747,4797.603,2,0,2.17,loss,-1.05,4775.911,2026-02-03 00:50,False,True,False,True,asia,29.29
38,2026-02-03 00:30,1770078600000,1770079800000,long,range,4821.16,4789.375,4916.516,4811.07,2,0,3.0,loss,-1.06,4789.375,2026-02-03 00:50,False,False,False,True,asia,29.72
39,2026-02-03 01:20,1770081600000,1770084000000,long,continuation,4853.82,4808.345,4950.896,4830.188,2,0,2.13,loss,-1.04,4808.345,2026-02-03 02:00,False,False,False,True,asia,35.46
