n,entry_time,entry_ms,exit_ms,direction,mode,entry_price,stop_loss,take_profit,level_price,level_touches,level_disrespect,rr_target,outcome,realized_r,exit_price,exit_time,sig_momentum,sig_fvg,sig_sweep,htf_up,session,atr
1,2026-05-11 06:20,1778480400000,1778502000000,short,continuation,4667.405,4683.274,4619.799,4669.358,3,0,3.0,loss,-1.08,4683.274,2026-05-11 12:20,True,False,False,False,london_ny,6.51
2,2026-05-11 12:50,1778503800000,1778593800000,long,range,4700.035,4665.224,4804.468,4690.668,2,0,3.0,timeout,-0.63,4679.225,2026-05-12 13:50,True,True,False,True,london_ny,6.86
3,2026-05-11 14:10,1778508600000,1778598600000,long,continuation,4730.945,4663.623,4932.911,4728.438,2,0,3.0,loss,-1.02,4663.623,2026-05-12 15:10,True,True,False,True,london_ny,10.49
4,2026-05-11 22:50,1778539800000,1778549400000,long,continuation,4751.09,4731.007,4811.338,4748.662,3,0,3.0,loss,-1.13,4731.007,2026-05-12 01:30,True,False,False,True,rollover,5.24
5,2026-05-12 00:00,1778544000000,1778549400000,long,continuation,4768.365,4730.55,4881.809,4765.355,2,0,3.0,loss,-1.05,4730.55,2026-05-12 01:30,False,False,False,True,asia,6.05
6,2026-05-12 06:10,1778566200000,1778599200000,short,continuation,4704.94,4724.57,4646.049,4708.772,3,0,3.0,win,2.94,4646.049,2026-05-12 15:20,True,False,False,False,london_ny,7.35
7,2026-05-12 20:00,1778616000000,1778709600000,long,range,4714.135,4636.668,4946.535,4712.168,2,0,3.0,timeout,-0.35,4690.015,2026-05-13 22:00,True,True,False,True,ny_close,5.38
8,2026-05-12 23:30,1778628600000,1778634000000,long,continuation,4720.61,4710.31,4751.509,4719.822,2,0,3.0,loss,-1.19,4710.31,2026-05-13 01:00,False,False,False,True,asia,4.62
9,2026-05-14 07:30,1778743800000,1778765400000,long,range,4712.0,4683.905,4796.284,4702.978,2,0,3.0,loss,-1.04,4683.905,2026-05-14 13:30,False,False,False,True,london_ny,7.33
10,2026-05-18 00:10,1779063000000,1779089400000,short,range,4523.31,4557.77,4419.929,4528.792,2,0,3.0,loss,-1.05,4557.77,2026-05-18 07:30,True,False,False,False,asia,9.32
11,2026-05-18 01:00,1779066000000,1779089400000,short,range,4501.75,4559.316,4329.052,4507.38,2,0,3.0,loss,-1.03,4559.316,2026-05-18 07:30,True,False,False,False,asia,11.36
12,2026-05-18 01:00,1779066000000,1779089400000,short,range,4501.75,4559.316,4329.052,4510.347,3,0,3.0,loss,-1.03,4559.316,2026-05-18 07:30,True,True,False,False,asia,11.36
13,2026-05-19 13:40,1779198000000,1779288000000,short,range,4481.51,4551.077,4272.809,4486.602,2,0,3.0,timeout,-0.6,4522.165,2026-05-20 14:40,False,True,False,False,london_ny,12.08
14,2026-05-20 03:10,1779246600000,1779287400000,short,range,4462.71,4512.836,4312.334,4464.49,2,0,3.0,loss,-1.03,4512.836,2026-05-20 14:30,True,True,False,False,asia,13.21
15,2026-05-21 02:00,1779328800000,1779330600000,long,continuation,4555.77,4534.95,4618.231,4553.2,2,0,3.0,loss,-1.1,4534.95,2026-05-21 02:30,True,False,False,True,asia,6.94
16,2026-05-21 05:30,1779341400000,1779355200000,short,range,4525.84,4542.557,4475.69,4526.362,3,0,3.0,loss,-1.1,4542.557,2026-05-21 09:20,True,True,False,False,asia,5.67
17,2026-05-21 07:30,1779348600000,1779355200000,short,continuation,4515.695,4542.107,4436.459,4518.388,2,0,3.0,loss,-1.05,4542.107,2026-05-21 09:20,True,True,False,False,london_ny,7.46
18,2026-05-21 17:30,1779384600000,1779429000000,long,continuation,4542.585,4512.014,4634.299,4540.328,3,0,3.0,loss,-1.05,4512.014,2026-05-22 05:50,False,True,False,True,london_ny,7.94
19,2026-05-21 18:00,1779386400000,1779429000000,long,continuation,4548.675,4511.73,4659.51,4543.862,2,0,3.0,loss,-1.04,4511.73,2026-05-22 05:50,True,False,False,True,london_ny,7.81
20,2026-05-24 22:50,1779663000000,1779762000000,long,reversal,4565.33,4501.739,4756.102,4559.45,2,0,3.0,timeout,-0.49,4536.96,2026-05-26 02:20,True,False,False,True,rollover,8.22
21,2026-05-24 23:10,1779664200000,1779763200000,long,reversal,4574.585,4501.579,4793.603,4571.688,2,0,3.0,timeout,-0.6,4532.54,2026-05-26 02:40,False,False,False,True,asia,8.47
22,2026-05-26 00:10,1779754200000,1779844200000,short,reversal,4545.945,4582.091,4437.507,4553.608,3,0,3.0,timeout,0.77,4516.25,2026-05-27 01:10,True,False,False,False,asia,5.51
23,2026-05-26 00:20,1779754800000,1779844800000,short,reversal,4549.44,4582.224,4451.088,4550.072,2,0,3.0,timeout,0.95,4516.27,2026-05-27 01:20,True,True,False,False,asia,6.15
24,2026-05-26 01:50,1779760200000,1779850200000,short,range,4537.3,4582.785,4400.846,4540.208,3,0,3.0,timeout,0.65,4505.96,2026-05-27 02:50,True,False,False,False,asia,9.24
25,2026-05-26 17:50,1779817800000,1779825000000,short,continuation,4491.19,4509.299,4436.863,4500.555,3,0,3.0,loss,-1.07,4509.299,2026-05-26 19:50,False,True,False,False,london_ny,4.75
26,2026-05-26 18:10,1779819000000,1779825000000,short,continuation,4490.8,4509.492,4434.725,4491.418,2,0,3.0,loss,-1.06,4509.492,2026-05-26 19:50,False,True,False,False,london_ny,5.69
27,2026-05-27 11:00,1779879600000,1779969600000,short,range,4449.845,4501.262,4295.595,4457.262,3,0,3.0,timeout,1.11,4391.77,2026-05-28 12:00,True,False,False,False,london_ny,7.74
28,2026-05-27 12:20,1779884400000,1779974400000,short,range,4454.705,4502.686,4310.763,4462.575,2,0,3.0,timeout,0.52,4428.5,2026-05-28 13:20,True,False,False,False,london_ny,7.74
