strategy,file,tf,trades,win_rate,total_pnl,return_pct,max_drawdown,sharpe,profit_factor
Bollinger Band Pairs Mean Reversion,chan_bollinger_pairs.py,1D,13,1.0,5468.738544206527,0.051932983816387425,-0.015023272222230585,1.3221117961035889,5468.738544206527
Kalman Filter Mean Reversion (EWA-EWC),chan_kalman_mean_reversion.py,1D,134,0.6791044776119403,2277.4769803952313,-0.005697276822970889,-0.02473185134370003,-0.10524340309193153,1.2173720918162472
Time-Series Momentum (Copper/Commodity),chan_momentum_copper.py,1D,2,1.0,6905.501812260658,0.06825140301379841,-0.055437604651275355,0.8334548185488487,6905.501812260658
Driehaus Growth Momentum,driehaus_momentum.py,1D,5,0.6,4627.4965584832935,0.04479824236667919,-0.04744123542805441,0.45283356703458344,3.544845198228861
Seykota EMA Trend Following,ema_trend_following.py,1D,6,0.5,49012.22858149557,0.4860708462663047,-0.1204376086656387,1.3652180492302843,10.394056152778097
Asian Session Range Breakout,lien_asian_range_breakout.py,1H,0,0.0,0.0,0.0,0.0,0.0,0.0
Inside Day Breakout,lien_inside_day_breakout.py,1H,26,0.38461538461538464,2350.6843928185417,-0.0006790388681480545,-0.06454859677789948,0.0016047043845522058,1.2936050930448624
lien_london_breakout.py,lien_london_breakout.py,1H,0,0.0,0.0,0.0,0.0,0.0,0.0
CAN SLIM Cup-with-Handle Breakout,oneil_canslim_breakout.py,1D,2,1.0,4862.193094740932,0.04837292612418372,-0.024978486868882873,0.8846136188501488,4862.193094740932
Schwartz MA Pullback (10/20 EMA),schwartz_ma_pullback.py,1D,35,0.37142857142857144,19040.243146068555,0.1797809431871491,-0.037551932105551813,1.4043688872748523,2.902163470130633
Sperandeo Market Age Reversal,sperandeo_age_reversal.py,1D,0,0.0,0.0,0.0,0.0,0.0,0.0
Trout Risk Rules (MA Cross + Risk Overlay),trout_risk_rules.py,1D,9,0.4444444444444444,21076.832958393257,0.2073262865074347,-0.052761682149520754,1.2582283301793067,5.767142560235695
Turtle Breakout (20/10 Channel),turtle_breakout.py,1D,11,0.36363636363636365,9510.756024826187,0.09111179940512724,-0.058283804497345375,0.6280866086212888,2.5572236301070945
Turtle System 2 (55-Day Breakout),turtle_s2_55day.py,1D,3,1.0,29328.58189465013,0.2918867165962381,-0.08058788175425016,1.3409529735631536,29328.58189465013
